relation,sex,age_code,job_type,start_type,start_time_num_6,start_zcode_num,act_num,mode_num,trip_time_num_6,end_type,end_zcode_num,Cluster
0,1,12,1,4.0,120,10.0,1.0,4.0,3,0.0,10.0,3
2,1,1,0,0.0,175,36.0,0.0,1.0,65,0.0,36.0,6
1,1,5,1,4.0,114,3.0,8.0,2.0,28,4.0,3.0,7
2,1,4,5,0.0,0,20.0,0.0,0.0,70,0.0,20.0,6
2,0,1,0,0.0,75,24.0,1.0,4.0,5,2.0,23.0,9
0,0,8,2,0.0,80,56.0,1.0,5.0,13,1.0,21.0,5
0,0,9,2,1.0,90,5.0,2.0,2.0,100,1.0,5.0,8
0,1,6,2,1.0,148,13.0,2.0,2.0,23,1.0,13.0,3
0,0,5,5,1.0,90,0.0,2.0,2.0,112,1.0,0.0,8
0,0,9,3,1.0,192,2.0,1.0,3.0,3,0.0,2.0,8
0,0,6,2,0.0,207,70.0,0.0,1.0,33,0.0,70.0,8
0,0,6,5,1.0,88,16.0,2.0,2.0,92,1.0,16.0,8
2,0,0,0,0.0,182,10.0,0.0,2.0,6,0.0,10.0,1
1,0,5,8,0.0,90,12.0,1.0,3.0,5,4.0,12.0,0
0,0,9,7,0.0,68,28.0,1.0,4.0,5,1.0,32.0,4
0,1,9,1,0.0,0,26.0,0.0,0.0,140,0.0,26.0,3
2,0,0,0,4.0,172,13.0,1.0,7.0,1,0.0,13.0,1
1,1,6,2,1.0,200,18.0,1.0,3.0,2,0.0,19.0,7
2,1,6,3,0.0,203,43.0,0.0,1.0,37,0.0,43.0,6
0,0,8,5,0.0,70,47.0,1.0,3.0,12,1.0,47.0,5
2,0,0,0,0.0,149,10.0,0.0,1.0,91,0.0,10.0,1
1,1,7,8,1.0,87,41.0,2.0,2.0,63,1.0,41.0,7
0,0,6,2,1.0,135,2.0,1.0,5.0,8,4.0,2.0,8
2,0,1,0,0.0,225,6.0,0.0,1.0,15,0.0,6.0,9
2,1,2,4,1.0,95,14.0,2.0,2.0,110,1.0,14.0,6
1,1,8,4,1.0,93,12.0,2.0,2.0,77,1.0,12.0,7
1,1,6,1,0.0,130,52.0,0.0,1.0,110,0.0,52.0,7
2,1,4,5,4.0,144,46.0,8.0,2.0,11,4.0,46.0,6
0,0,6,8,0.0,0,15.0,0.0,0.0,57,0.0,15.0,8
